種類,泣ける,かっこいい,楽しい,勇敢,笑える,切ない,コミカル,パニック,恐怖,悲しい,スペクタクル,絶望的,ファンタジー,不思議,知的,ロマンチック,不気味,かわいい
THE FIRST SLAM DUNK,0.23,0.23,0.15,0.09,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
映画 イチケイのカラス,0.13,0.00,0.09,0.00,0.14,0.13,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
非常宣言,0.10,0.00,0.00,0.12,0.00,0.00,0.00,0.18,0.14,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0
そして僕は途方に暮れる,0.13,0.00,0.00,0.00,0.15,0.17,0.10,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0
Dr.コトー診療所,0.27,0.00,0.00,0.00,0.00,0.16,0.00,0.05,0.00,0.14,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0
ラーゲリより愛をこめて,0.30,0.00,0.00,0.12,0.00,0.17,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
RRR,0.09,0.12,0.12,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0
すずめの戸締り,0.14,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.06,0.00,0.00,0.14,0.07,0.00,0.00,0.00,0
かがみの孤城,0.21,0.00,0.00,0.07,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.10,0.00,0.00,0.00,0
アバター:ウェイ・オブ・ウォーター,0.08,0.06,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.17,0.00,0.00,0.00,0.00,0
レッドシューズ,0.43,0.18,0.15,0.10,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
きっと、うまくいく,0.15,0.00,0.17,0.00,0.17,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0
ベンジャミン・バトン　数奇な人生,0.1,0,0,0,0,0.19,0,0,0,0,0,0.00,0.11,0.13,0,0.11,0.00,0
CUBE,0,0,0,0,0,0,0,0.14,0.21,0,0,0.19,0,0,0.1,0,0.15,0
インターステラー,0.11,0,0,0.9,0,0,0,0,0,0,0.12,0,0,0.9,0.9,0,0,0
箱入り息子の恋,0.13,0,0,0,0.15,0.11,0,0,0,0,0,0,0,0,0,0.9,0,0.1
ロボコップ,0,0.15,0,0.12,0,0.9,0,0,0.6,0.6,0,0,0,0,0,0,0,0